Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_0,23,163,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_1,15,69,15,15,15,16,16,15,16,15,16,15,16,15,16,15,16,15,19,15,19,15,16,15,16,15
Map_2,12,45,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_3,20,86,15,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_4,67,104,13,13,13,25,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Map_5,97,166,26,26,26,29,25,26,25,26,25,26,25,26,25,26,25,25,25,25,25,25,25,25,25,25
Map_6,13,35,14,14,14,14,14,13,14,13,14,13,14,13,14,13,14,13,15,13,15,13,14,13,14,13
Map_7,16,71,16,16,16,23,16,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,17,16,17,16
Map_8,9,105,13,9,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_9,238,61,27,27,28,39,35,35,35,35,35,35,33,33,33,33,32,23,32,23,32,23,32,23,32,23
Map_10,18,107,14,14,14,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_11,47,39,25,26,25,25,20,20,20,20,20,20,20,20,20,20,21,20,21,20,21,20,21,20,21,20
Map_12,11,46,11,11,11,21,11,11,11,11,11,11,11,11,11,11,12,11,12,11,12,11,12,11,11,11
Map_13,10,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_14,27,83,21,20,21,38,27,23,27,23,27,23,23,23,23,23,27,23,18,23,18,24,27,20,27,20
Map_15,13,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,12,11,12,11,12,11
Map_16,20,246,18,18,18,18,18,19,18,19,18,19,18,19,18,19,13,13,13,13,13,13,18,16,18,16
